id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,politics,sentiment_snow
4501530000000000.0,J0DIIhhUB,#广东虎门大桥发生异常抖动已全封闭#【广东交通集团：虎门大桥振动系涡振现象 悬索桥结构安全】广东省交通集团6日凌晨通报称，专家组判断，虎门大桥5日发生振动系桥梁涡振现象，并认为悬索桥结构安全可靠，不会影响虎门大桥后续使用的结构安全和耐久性。6日凌晨，记者在虎门大桥管理中心实时监控画面看到，大桥仍有肉眼可见的轻微振动。　　虎门大桥是连接广州市南沙区与东莞市虎门镇的跨海大桥，位于珠江口狮子洋上，于1997年建成通车。虎门大桥车流量大，常处于饱和状态。　　广东省交通集团通报称，5月5日14时许，虎门大桥悬索桥桥面发生明显振动，桥面振幅过大影响行车舒适性和交通安全。大桥管理部门联合交警部门及时采取了双向交通管制措施，广东省交通运输厅、广东省交通集团连夜组织了国内12位知名桥梁专家召开专题视频会议进行了研判。　　专家组初步判断，虎门大桥悬索桥本次振动的主要原因是：沿桥跨边护栏连续设置水马，改变了钢箱梁的气动外形，在特定风环境条件下，产生了桥梁涡振现象。　　广东省交通集团通报说，大跨径悬索桥在较低风速下存在涡振现象，振动幅度较小不易察觉，仅在特殊条件下会产生较大振幅，不影响桥梁结构安全，会影响行车体验感、舒适性，易诱发交通安全事故。       目前，虎门大桥管养单位已紧急开始对大桥进行全面检查检测，大桥继续施行双向封闭。交通运输部已组建专家工作组到现场指导。（记者田建川、毛鑫）,,https://wx3.sinaimg.cn/large/654b47daly1geiibviajwj21hc0u041d.jpg,,,2020/5/5,微博 weibo.com,38.0,15.0,9.0,广东虎门大桥发生异常抖动已全封闭,,False,0.20063301435555503
4501520000000000.0,J0DywwirU,#严防疫情反弹#截至5月5日24时，疫情最新数据。戳图↓#每日疫情防控播报#  ,,https://wx4.sinaimg.cn/large/654b47daly1geihlgzojbj20gw0uegwq.jpg,,,2020/5/5,微博 weibo.com,31.0,9.0,18.0,"严防疫情反弹,每日疫情防控播报",,False,0.8946215269671302
4501520000000000.0,J0Ds4s2Mr,#英烈人物#【半生戎马半生歌:人民艺术家阎肃】“红岩上，红梅开……”这首清丽悠婉、铿锵坚毅的《红梅赞》，是歌剧《江姐》的主题歌，被誉为“中国歌剧的里程碑”。半个多世纪前，一位年仅32岁的青年仅用18天时间创作出了这首歌曲。他就是人民艺术家、空军政治工作部文工团原创作员阎肃。　　在新中国文艺史上，“阎肃”这个名字具有十分重要的地位和影响力。他坚定爱党报国的理想信念，为党和军队文艺事业不懈奋斗了65个春秋，创作了1000多部（首）精品佳作，参与策划100多场重大文艺活动，为讴歌主旋律、汇聚正能量，繁荣发展社会主义文艺事业和先进军事文化作出了突出贡献。　　阎肃1930年5月出生于河北保定。七七事变后，他随全家逃难到重庆，16岁那年考取了重庆南开中学，诗朗诵、说相声、打快板、演话剧、唱京剧……在学校，他是一名“业余文艺活跃分子”，几乎参加了校园里的所有演出。他秘密加入党的外围组织，投入党领导的学生运动，决心寻找真正的光明之路。1949年春天，阎肃考入重庆大学工商管理专业，与同学们一道罢课、游行……1950年，阎肃接受组织调遣，进入共青团西南工委青年艺术工作队。　　1952年秋天，阎肃随西南艺术工作队赴朝鲜战场慰问演出。在与战士的交流中，他立志从军，为英雄写歌，并于1953年正式加入中国共产党。　　从第一首空军题材歌曲《只因我的小银燕是祖国造》，他一发而不可收，《我爱祖国的蓝天》《军营男子汉》《长城长》《云霄天兵》……盘点其一生创作的1000多部（首）作品，三分之二都是军旅题材。　　军旅生涯中，阎肃始终贴近基层服务官兵，几乎跑遍了空军所有类型的基层单位，机场、阵地、海岛、高原、边防哨所都留下了他的足迹，创作出一大批脍炙人口、感人至深的军旅歌曲，还帮助100多个军师旅团部队创作了队歌。　　他始终不忘本色，对自己高标准、严要求，只要是组织交给的任务都认真完成，从不考虑个人得失，体现了艺德高尚、淡泊名利的人格风范。　　在创作生涯中，阎肃始终坚定对党忠诚的政治信念，把人生追求定格在做党的文艺战线忠诚战士上，把对党的忠诚融入文艺创作。他坚持以人民为中心的创作导向，先后创作了歌剧《江姐》、歌曲《敢问路在何方》，编创舞蹈史诗《复兴之路》等时代力作，在海内外产生了重大影响。　　阎肃被誉为文艺战线的一面旗帜，他60多年勇攀艺术高峰，80多岁依然奋斗在文艺工作第一线。2016年2月12日，阎肃因病医治无效，在北京逝世，享年86岁。回顾他的一生，无论是创作实践、还是为人做事，都是一片丹心、一腔热血、一身正气。（记者周闻韬）,,https://wx3.sinaimg.cn/large/654b47daly1geih59d248j20u00yunh3.jpg,,,2020/5/5,微博 weibo.com,434.0,143.0,125.0,英烈人物,,True,0.669230589983586
4501510000000000.0,J0DiWitre,#严防疫情反弹#【5月5日#广东省无新增确诊病例# 无新增无症状感染者】5月5日0-24时，全省无新增确诊病例，无新增无症状感染者，新增出院4例。       截至5月5日24时，全省累计报告新冠肺炎确诊病例1588例，目前仍在院5例，治愈率 99.18%。 ,,"https://wx4.sinaimg.cn/large/654b47daly1geighvgahej21e20tqat0.jpg,https://wx2.sinaimg.cn/large/654b47daly1geighx2x9ij20m81n8tg6.jpg",,,2020/5/5,微博 weibo.com,37.0,10.0,9.0,"严防疫情反弹,广东省无新增确诊病例",,False,0.02692029666165774
4501510000000000.0,J0DfC59j4,#严防疫情反弹#【国家卫健委：5月5日0—24时，#新增确诊病例2例#，均为境外输入病例，#新增无症状感染者20例#】5月5日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例2例，均为境外输入病例（在陕西）；无新增死亡病例；新增疑似病例3例，均为境外输入病例（在上海）。　　当日新增治愈出院病例58例，解除医学观察的密切接触者517人，重症病例减少3例。　　境外输入现有确诊病例278例（含重症病例5例），现有疑似病例5例。累计确诊病例1678例，累计治愈出院病例1400例，无死亡病例。　　截至5月5日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例339例（其中重症病例26例），累计治愈出院病例77911例，累计死亡病例4633例，累计报告确诊病例82883例，现有疑似病例5例。累计追踪到密切接触者735577人，尚在医学观察的密切接触者6973人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例（境外输入3例）；当日无转为确诊病例；当日解除医学观察64例（境外输入9例）；尚在医学观察无症状感染者903例（境外输入88例）。　　累计收到港澳台地区通报确诊病例1523例。其中，香港特别行政区1040例（出院920例，死亡4例），澳门特别行政区45例（出院39例），台湾地区438例（出院334例，死亡6例）。,,https://wx1.sinaimg.cn/large/654b47daly1geig8qpj9bj20u70u07wh.jpg,,,2020/5/5,微博 weibo.com,23.0,3.0,9.0,"严防疫情反弹,新增确诊病例2例,新增无症状感染者20例",,False,0.13490473499970812
4501510000000000.0,J0Ddzhb09,#新华全媒头条#【寰球抗疫昼夜间】地球转动，昼夜更替。在刚刚过去的24小时，寰球的一个个剪影，都显示有关人类共同命运的主题：抗击新冠疫情。详情请看↓ 寰球抗疫昼夜间 ,,,,,2020/5/5,微博 weibo.com,317.0,280.0,118.0,新华全媒头条,,False,0.3693307317876874
4501500000000000.0,J0D1fs8Ac,"#严防疫情反弹#【5月5日#黑龙江省省内无新增确诊病例# 无新增境外输入确诊病例】2020年5月5日0-24时,黑龙江省省内无新增确诊病例，新增治愈出院病例5例。截至5月5日24时，累计报告本土确诊病例558例，累计治愈出院病例497例，现有确诊病例48例（哈尔滨38例、牡丹江9例、大庆1例），现有无症状感染者19例（哈尔滨11例、牡丹江8例）。当日发热门诊诊疗人数679人。累计追踪到省内密切接触者19823人，已解除医学观察17849人，尚有1974人正在接受医学观察。      2020年5月5日0-24时。全省无新增境外输入确诊病例；新增境外治愈出院病例34例。截至5月5日24时，累计报告境外输入确诊病例386例，其中：黑龙江省120例，其他省份266例；现有境外输入确诊病例125例；累计报告境外治愈出院病例261例。追踪到境外密切接触者2104人，已解除医学观察2094人，尚有10人正在接受医学观察。       2020年5月5日0-24时,无新增境外输入无症状感染者。截至5月5日24时，现有境外输入无症状感染者3例，其中：黑龙江省1例，其他省份2例。",,https://wx3.sinaimg.cn/large/654b47daly1geien0iq5nj21ey0u0qig.jpg,,,2020/5/5,微博 weibo.com,55.0,12.0,20.0,"严防疫情反弹,黑龙江省省内无新增确诊病例",,False,0.8871356968151575
4501470000000000.0,J0CmVzeZW,#国际疫情动态# 【约翰斯·霍普金斯大学：#美国累计新冠确诊病例超过120万例#】美国约翰斯·霍普金斯大学5日发布的新冠疫情最新统计数据显示，美国累计新冠确诊病例超过120万例。　　根据美国东部时间5日18时（北京时间6日6时）查询到的数据，美国累计新冠确诊病例升至1201337例，累计死亡病例为70646例，确诊病例和死亡病例都是全球最多。　　数据显示，纽约州为美国疫情最严重的地区，累计确诊病例321192例，累计死亡病例25073例。新泽西州累计确诊病例130593例，累计死亡病例8244例。确诊病例超过5万例的州还有马萨诸塞州、伊利诺伊州、加利福尼亚州和宾夕法尼亚州。,,https://wx4.sinaimg.cn/large/654b47daly1geiccwr0rzj20fm0fmx6p.jpg,,,2020/5/5,微博 weibo.com,47.0,12.0,30.0,"国际疫情动态,美国累计新冠确诊病例超过120万例",,False,0.12115958325254961
4501460000000000.0,J0C6Tf0IP,#国际疫情动态# #新华社快讯#美国约翰斯·霍普金斯大学5日发布的新冠疫情最新统计数据显示，#美国累计确诊病例超过120万例#。 ,,https://wx4.sinaimg.cn/large/654b47daly1geib6oyri8j20fm0fmjt9.jpg,,,2020/5/5,微博 weibo.com,52.0,15.0,27.0,"国际疫情动态,新华社快讯,美国累计确诊病例超过120万例",,False,0.107796592149212
4501460000000000.0,J0C3PtKRs,#国际疫情动态# 【世卫组织：#中国以外新冠确诊病例达3432941例#】世界卫生组织5日公布的最新数据显示，中国以外新冠确诊病例达到3432941例。　　世卫组织每日疫情报告显示，截至欧洲中部时间5日10时（北京时间16时），中国以外新冠确诊病例较前一日增加81450例，达到3432941例；中国以外死亡病例较前一日增加3797例，达到238758例。　　全球范围内，新冠确诊病例较前一日增加81454例，达到3517345例；死亡病例较前一日增加3797例，达到243401例。（记者刘曲）,,https://wx2.sinaimg.cn/large/654b47daly1geiayy6v1rj20fm0fmx6p.jpg,,,2020/5/5,微博 weibo.com,40.0,12.0,32.0,"国际疫情动态,中国以外新冠确诊病例达3432941例",,False,0.667039100919147
